name	type	units	sampling_frequency
Fp1	EEG	uV	512
AF7	EEG	uV	512
AF3	EEG	uV	512
F1	EEG	uV	512
F3	EEG	uV	512
F5	EEG	uV	512
F7	EEG	uV	512
FT7	EEG	uV	512
FC5	EEG	uV	512
FC3	EEG	uV	512
FC1	EEG	uV	512
C1	EEG	uV	512
C3	EEG	uV	512
C5	EEG	uV	512
T7	EEG	uV	512
TP7	EEG	uV	512
CP5	EEG	uV	512
CP3	EEG	uV	512
CP1	EEG	uV	512
P1	EEG	uV	512
P3	EEG	uV	512
P5	EEG	uV	512
P7	EEG	uV	512
P9	EEG	uV	512
PO7	EEG	uV	512
PO3	EEG	uV	512
O1	EEG	uV	512
Iz	EEG	uV	512
Oz	EEG	uV	512
POz	EEG	uV	512
Pz	EEG	uV	512
CPz	EEG	uV	512
Fpz	EEG	uV	512
Fp2	EEG	uV	512
AF8	EEG	uV	512
AF4	EEG	uV	512
AFz	EEG	uV	512
Fz	EEG	uV	512
F2	EEG	uV	512
F4	EEG	uV	512
F6	EEG	uV	512
F8	EEG	uV	512
FT8	EEG	uV	512
FC6	EEG	uV	512
FC4	EEG	uV	512
FC2	EEG	uV	512
FCz	EEG	uV	512
Cz	EEG	uV	512
C2	EEG	uV	512
C4	EEG	uV	512
C6	EEG	uV	512
T8	EEG	uV	512
TP8	EEG	uV	512
CP6	EEG	uV	512
CP4	EEG	uV	512
CP2	EEG	uV	512
P2	EEG	uV	512
P4	EEG	uV	512
P6	EEG	uV	512
P8	EEG	uV	512
P10	EEG	uV	512
PO8	EEG	uV	512
PO4	EEG	uV	512
O2	EEG	uV	512
